```csv
App Number,Category,App Name,Website,Auth Method,Access Model,API Surface,Buildability Verdict,Blocker,Docs URL
1,CRM and Sales,Salesforce,salesforce.com,OAuth2,Self-serve (Sandbox),Extensive REST/SOQL,Agent-ready,None,developer.salesforce.com
2,CRM and Sales,HubSpot,hubspot.com,OAuth2 / PAT,Self-serve,Extensive REST,Agent-ready,None,developers.hubspot.com
3,CRM and Sales,Pipedrive,pipedrive.com,OAuth2 / API Key,Self-serve,REST API,Agent-ready,None,pipedrive.readme.io
4,CRM and Sales,Attio,attio.com,OAuth2 / Token,Self-serve,REST API,Agent-ready,None,docs.attio.com
5,CRM and Sales,Twenty,twenty.com,Bearer Token,Self-serve,GraphQL / REST,Agent-ready,None,developers.twenty.com
6,CRM and Sales,Podio,podio.com,OAuth2,Self-serve,REST API,Agent-ready,None,developers.podio.com
7,CRM and Sales,Zoho CRM,zoho.com/crm,OAuth2,Self-serve,REST API,Agent-ready,None,zoho.com/crm/developer
8,CRM and Sales,Close,close.com,API Key (Basic),Self-serve,REST API,Agent-ready,None,developer.close.com
9,CRM and Sales,Copper,copper.com,API Key,Self-serve,REST API,Agent-ready,None,developer.copper.com
10,CRM and Sales,DealCloud,api.docs.dealcloud.com,OAuth2 / Client Creds,Gated,REST API,Hard Blocked,Enterprise contract required,api.docs.dealcloud.com
11,Support and Helpdesk,Zendesk,zendesk.com,OAuth2 / API Token,Self-serve,Extensive REST,Agent-ready,None,developer.zendesk.com
12,Support and Helpdesk,Intercom,intercom.com,OAuth2 / Access Token,Self-serve,REST API,Agent-ready,None,developers.intercom.com
13,Support and Helpdesk,Freshdesk,freshdesk.com,API Key (Basic),Self-serve,REST API,Agent-ready,None,developers.freshdesk.com
14,Support and Helpdesk,Front,front.com,OAuth2 / API Token,Self-serve,REST API,Agent-ready,None,dev.frontapp.com
15,Support and Helpdesk,Pylon,usepylon.com,Bearer Token,Self-serve,REST API,Agent-ready,None,docs.usepylon.com/pylon-docs
16,Support and Helpdesk,LiveAgent,liveagent.com,API Key,Self-serve,REST API,Agent-ready,None,liveagent.com/api
17,Support and Helpdesk,Plain,plain.com,API Key / Bearer,Self-serve,GraphQL + MCP Server,Agent-ready,None,plain.com/docs/graphql
18,Support and Helpdesk,Help Scout,helpscout.com,OAuth2,Self-serve,REST API,Agent-ready,None,developer.helpscout.com
19,Support and Helpdesk,Gorgias,gorgias.com,Basic (API Key),Self-serve,REST API,Agent-ready,None,developers.gorgias.com
20,Support and Helpdesk,Gladly,gladly.com,Basic (API Token),Self-serve,REST API,Agent-ready,None,developer.gladly.com
21,Communications and Messaging,Slack,slack.com,OAuth2 / Bot Token,Self-serve,Web API / Events,Agent-ready,None,api.slack.com
22,Communications and Messaging,Twilio,twilio.com,Account SID/Token (Basic),Self-serve,REST API,Agent-ready,None,twilio.com/docs
23,Communications and Messaging,Zoho Cliq,zoho.com/cliq,OAuth2,Self-serve,REST API,Agent-ready,None,zoho.com/cliq/help/restapi
